"№ пп	Страна	Дата	Специфика сайта	Адрес (Название сайта)	Рейтинг посещаемости			Переписка с сайтом (приглашение в ПП)							Примечания						";;;;;;;;
"169	Чили	15.03.2017	продажа яхт	http://bluebay.cl/	1.1к			 canepa@bluebay.cl	Bruno	15.03.2017	Пронин Т.С.	da	02.фев								";;;;;;;;
"256		17.03.2017	обзор футбольных событий. Своё интерактивное ТВ	http://somosfutboleros.net/tag/chile-2015/	1к			""                                                                 отправил формуляр на сайте";" +57 3126485264""		17.03.2017	Пронин Т.С.	da (whatsapp)	11.дек	Вначале не смог перейти по ссылке. Потом всётаки открыл ссылку. После этого перестал отвечать на сообщения. 27.03 написал ему повторно. Ответил, что не хочет участовать (посоветовался с другом, который разбирается в интернет-маркетинге). После отработки возражений написал, что у них есть своя установка по рекламной компании (новые компании они не рассматривают)							";;;;;;;
"315		20.03.2017	экипировка для американского футбола	http://www.tiendafutbolamericano.com/	51.5К			contacto@tfasports.com	Antoni Garau	20.03.2017	Пронин Т.С.	da	10/10 skype	Не интересна Affiliate Programme. Нужно коммерческое предложение (цена - продукт - срок)							";;;;;;;;
"335		20.03.2017	бокс	http://www.clubmexico.cl/index.php/contacto	4.4к			 info@clubmexico.cl	Luis Valenzuela	20.03.2017	Пронин Т.С.	da	03.фев	Отправил ему ссылку на сайт и дополнительную информацию. 27.03 отправил письмо-напоминание. 03.04 отправил ему письмо-напоминание.							";;;;;;;;
"343		20.03.2017	повторяется по ошибке	http://www.eldesconcierto.cl/2014/05/15/chile-de-espaldas-crespita-rodriguez/	674.2к			""francisca@eldesconcierto.cl"; sebastian@eldesconcierto.cl;" anamaria@eldesconcierto.cl""	ANNA MARIA MILLAR	20.03.2017	Пронин Т.С.	da	04.фев	03.04 отправил ей письмо-напоминание							";;;;;;
"		21.03.2017	индивидуальные программы тренировок/питания	http://www.fastfitness.cl/boom-del-boxeo/	3.9к			administracion@fastfitness.cl		21.03.2017	Пронин Т.С.	da	02.янв	Отправил 27.03 письмо напоминание							";;;;;;;;
"		21.03.2017	скачивание музыки	https://divmp3.com/contacto	15.7к			divmp3.com@gmail.com		21.03.2017	Пронин Т.С.	da	02.янв	отправил ему ссылку и основную информацию. Жду ответ.							";;;;;;;;
"		23.03.2017	кэмпинг, туризм в палатках	http://www.campingchile.cl/	70.7к			campingchile@gmail.com.		23.03.2017	Пронин Т.С.	da	03.янв	Клиент задал вопрос (где конкретно на странице мы хотели бы разместить баннер). Я ему ответил должным образом. До 27.03 не получил ответа на своё письмо. 27.03 отправил письмо-напоминание. 03.04 отправил ему пиьмо-напоминание.							";;;;;;;;
"		23.03.2017	кэмпинг	http://www.turismochileaventura.cl/index.php/con	no info			turismochileaventura@gmail.com	Alfonso	23.03.2017	Пронин Т.С.	da	02.янв	Он задал вопрос, как выглядит наш сайт (он на facebook или на youtube). Дал ему исчерпывающий ответ. 03.04 отправил ему письмо-напоминание.							";;;;;;;;
"		27.03.2017	футбольная одежда	http://mojala.cl/	1k			ventas@mojala.cl	Jose Antonio Music	27.03.2017	Пронин Т.С.	da	01.янв	500 US dollars/месяц. Могут уступитьв цене, если размещать на год и более. Указал им на то, что у них низкий трафик и рассказал про Affiliate Programme.	jose.music@sevensports.cl						";;;;;;;;
"		22.03.2017	сёрфинг	http://surfserena.cl/web/contacto/	500			""francisca@eldesconcierto.cl"; sebastian@eldesconcierto.cl;" anamaria@eldesconcierto.cl""	FELIPE	22.03.2017	Пронин Т.С.	da	02.фев	100/150/200 евро в месяц. Написал про Affiliate Programme - он ответил, что программа ему приглянулась, задал мне несколько дополнительных вопросов.	felipe_cmondaca@yahoo.es	A B C		A 250$ B 150$ C 100$		месяц	";;;;;;
"106	Чили	15.03.2017	HORSE RACING	http://www.hipodromo.cl/hipodromochile/index	134.3к			contacto@hipodromochile.cl	Alex Jimenez Hugeat	15.03.2017	Пронин Т.С.	da	01.янв	Не заинтересованы в программе.							";;;;;;;;
"		29.03.2017	БИНОКЛЬ/ОПТИКА	http://telescopioschile.cl/contacto	39к			отправил формуляр на сайте		29.03.2017	Пронин Т.С.	da	01.янв	У них сейчас стоят ограничения на количество рекламы. Не будут сотрудничать							";;;;;;;;
"		30.03.2017	новостной портал 	http://www.elepicentro.cl/	59.5к			jlriquelme@elepicentro.cl		30.03.2017	Пронин Т.С.	da	02.янв	Высокая посещаемость. Сходный тариф. Могут перевести на испанский/согласовать место. Думают о сотрудничестве, так как в России будет проходить ЧМ по футболу. Многие Чилийцы поедут в Россию.  - Рассказал им о нашей Affiliate Programme.	70$ за баннер. Есть тарифы за день/месяц/год	могут согласовать любой размер			70 евро за одно размещение	день/месяц/год	Интресно наше предложение (так как в России будет проходить ЧМ по футболу. Могут перевсти на испанский за 25% сверху.";;;;;;;;
"		30.03.2017	прогнозы на спорт	http://5starsparley.com/	500			5starsparley@gmail.com	Написал с незнакомого e-mail. Ту почту, на которую я отправлял информационное письмо, невозможно найти.	30.03.2017	Пронин Т.С.	da	03.янв	Направили мне файл PDF с ценами за размещение. Рассказал им про Affiliate Programme.	Баннеры двух размеров. Можноразместить в трёх местах: panel user, blog, home.	""A1 BANNER 300x250";" A2 BANNER 468x60""		""(HOME) A1 FREE PICS 299$ A2 FREE PICS 259$"; (PANEL USER) A1 SIDEBAR 199$ A2 TOP 159$;" (BLOG) A1 SIDEBAR 199$ A2 FOOTER POST 159$""		месяц	Оплата по paypal и payoneer";;;;;
"		22.03.2017	сёрфинг	https://www.surftotoralillo.cl/contacto/	1.7к			surftotoralillo@gmail.com		22.03.2017	Пронин Т.С.	da	02.янв	Отправил ему ссылку на сайт и дополнительную информацию. 27.03 отправил письмо-напоминание. 27.03 получил ответ (помню про Ваше письмо, ознакомлюсь с содержанием позже). 5 АПРЕЛЯ написать повторно (он так и не ответил)							";;;;;;;;
"		27.03.2017	дайвинг	http://www.buceandochile.cl/	3.6k			""buceandochile@hubble";" rodrigo@buceandochile.cl""	Rodrigo Sanchez	27.03.2017	Пронин Т.С.	da	04.фев	Rodrigo написал мне, что человек, который отвечает за рекламу, находится в отпуске. Попросил написать ему в первый день первой рабочей недели апреля. Написал, жду контакта человека, который уполномочен принимать решения, связанные с рекламой. 	Не поддерживает ставки на спорт. Не будет сотрудничать.						";;;;;;;
"		22.03.2017	страйкбол	http://www.rhinoairsoftgear.com/index.php?route=common/home	3.1к			                                                                 отправил формуляр на сайте		22.03.2017	Пронин Т.С.	da	03.янв	Клиент задал вопрос о том, какую компанию мы представляем. Дал ему исчерпывающий ответ и ссылку на сайт. 03.04 отправил ему письмо-напоминание.							";;;;;;;;
"		27.03.2017	спортивная одежда	http://mojala.cl/	1k			jose.music@sevensports.cl		27.03.2017	Пронин Т.С.	da	02.янв					500$		месяц	Если разместить сразу на год, они готовы сделать скидку";;;;;;;;
"		26.03.2017	ставки на спорт	http://sportguru.es/	6.9k			info@sportguru.es	Miguel Cortes	26.03.2017	Пронин Т.С.	da	2/.1	Заинтересован. Рассказал ему о том, кто мы и в какой форме мы хотим сотрудничать.							";;;;;;;;
"		26.03.2017	сёрфинг	http://kitesurfchile.cl/en/contact/	500			 info@kitesurfchile.cl	Ramon Burr	26.03.2017	Пронин Т.С.	da	02.янв	Заинтересован. Рассказал ему о том, кто мы и в какой форме мы хотим сотрудничать.							";;;;;;;;
"		04.04.2017	сервисы для бизнеса	https://www.multicaja.cl/personas/contacto.php	440.7k			отправил формуляр на сайте	Gonzalo	04.04.2017	Пронин Т.С.	da	02.янв	В настоящий момент они не размещают у себя рекламу. Однако они могут согласиться, после ознакомления с нашим предложением.							";;;;;;;;
"		05.04.2017	продажа телефонов	http://ventaredonda.cl/contact	8.2к			soporte@ventaredonda.cl		05.04.2017	Пронин Т.С.	da	02.янв	Задал мне три вопроса. Я на них ответил, жду продолжения.							";;;;;;;;
"		04.04.2017	ремонт продукции эпл	http://www.ryutech.cl/	37.7k			info@ryutech.cl		04.04.2017	Пронин Т.С.	da	da	tiago.vinagre@ryutech.cl							";;;;;;;;
"		04.04.2017	покупка телефонов/аксессуаров	https://palcelu.cl/	8k			contacto@palcelu.cl		04.04.2017	Пронин Т.С.	da	da	James.salgadoh@gmail.com							";;;;;;;;
"		16.03.2017	поддержка агро производителей	http://rscia.cl/contacto/	594			contacto@rscia.cl	Nicolas	16.03.2017	Пронин Т.С.	da	02.янв	contacto@rscia.cl							";;;;;;;;
"1	Испания 	30.05.2017	новости спорта 	https://mail.google.com/mail/u/0/#inbox/15bcfa9011e4afa9	379.30м			отправил формуляр на сайте		30.05.2017	Антонио бж		да	https://mail.google.com/mail/u/0/#inbox/15bcfa9011e4afa9			15 000	980.82		месяц	";;;;;;;;
"2	Испания 	30.05.2017	новости спорта 	http://as.com	80.10м			отправил формуляр на сайте		30.05.2017	Антонио бж										";;;;;;;;
"3	Испания 	30.05.2017	новости спорта 	http://www.mundodeportivo.com	25.90м			отправил формуляр на сайте		30.05.2017	Антонио бж			https://mail.google.com/mail/u/0/#inbox?compose=15c5931e29654dba							";;;;;;;;
"4	Испания 	30.05.2017	новости спорта 	http://www.sport.es/es/	25.10м			отправил формуляр на сайте		30.05.2017	Антонио бж			redaccion@diariosport.com							";;;;;;;;
"5	Испания 	30.05.2017	новости спорта	http://www.marca.com	102.70м			отправил формуляр на сайте		30.05.2017	Антонио бж										";;;;;;;;
"6	Испания 	30.05.2017	спортивная ставка 	http://www.sportytrader.es/contacte.htm	308к			отправил формуляр на сайте		30.05.2017	Антонио бж										";;;;;;;;
"7	Испания 	30.05.2017	спортивная ставка 	http://www.vitisport.es	216.60к			отправил формуляр на сайте		30.05.2017	Антонио бж			admin @ vitisport.cz							";;;;;;;;
"8	Испания 	30.05.2017	спортивная ставка 	http://www.wincomparator.com/es-es/about/contact.html	881.40к			отправил формуляр на сайте		30.05.2017	Антонио бж										";;;;;;;;
"9	Испания 	30.05.2017	спортивная ставка 	https://intelbet.es	5.10K			отправил формуляр на сайте		30.05.2017	Антонио бж										";;;;;;;;
"10	Испания 	30.05.2017	спортивная ставка 	http://www.oddsshark.com/contact	1.90M			отправил формуляр на сайте		30.05.2017	Антонио бж										";;;;;;;;
"11	Испания 	30.05.2017	спортивная ставка 	https://lotoluck.com	142.80K			отправил формуляр на сайте		30.05.2017	Антонио бж										";;;;;;;;
"12	Испания 	30.05.2017	спортивная ставка 	http://www.superdeporte.es	2.10M			отправил формуляр на сайте		30.05.2017	Антонио бж										";;;;;;;;
"13	мексика	30.05.2017	спортивная ставка 	http://www.losmillones.com/futbol/mexico/	52.30K			email@alfacode.com.		30.05.2017	Антонио бж			info@losmillones.com 							";;;;;;;;
"14	Испания 	30.05.2017	спортивная ставка 	http://www.rosportsvip.com/	5.40K			отправил формуляр на сайте		30.05.2017	Антонио бж										";;;;;;;;
"15	Испания 	30.05.2017	рекламные сайт	http://aulacm.com/publicar-anuncios-gratis/	695.60K			отправил формуляр на сайте		30.05.2017	Антонио бж			info@soovil.com							";;;;;;;;
"16	Испания 	30.05.2017	рекламные сайт	http://www.soovil.com	18.50K			отправил формуляр на сайте		30.05.2017	Антонио бж										";;;;;;;;
"17	Испания 	30.05.2017	прогоз футбола	https://www.forebet.com/es/	3M			admin@forebet.com		30.05.2017	Антонио бж			admin@forebet.com							";;;;;;;;
"18	Испания 	30.05.2017	прогоз футбола	http://es.scometix.com	54.20K			отправил формуляр на сайте		30.05.2017	Антонио бж			info@scometix.com							";;;;;;;;
"19	Испания 	30.05.2017	прогоз спорта	http://www.liderendeportes.com/pronosticos.aspx	327.30K			отправил формуляр на сайте		30.05.2017	Антонио бж										";;;;;;;;
"20	Испания 	30.05.2017	прогоз спорта	http://reydelparlay.com	51.30K			отправил формуляр на сайте		30.05.2017	Антонио бж										";;;;;;;;
"21	Испания 	30.05.2017	сайт новостях 	https://diariorombe.es	50K			отправил формуляр на сайте		30.05.2017	Антонио бж										";;;;;;;;
"22	Испания 	30.05.2017	сайт новостях 	http://www.radiomacuto.cl	12.70K			macutoradioyop@gmail.com		30.05.2017	Антонио бж										";;;;;;;;
"23	Испания 	30.05.2017	сайт футбола 	http://www.rojadirectas.me	1.20M			отправил формуляр на сайте		30.05.2017	Антонио бж										";;;;;;;;
"24	колумбия 	31.05.2017	рекл. Сайт 	https://www.ucepcol.com	6.40K			ucepcol@gmail.com		31.05.2017	Антонио бж										";;;;;;;;
"25	панама 	31.05.2017	прогоз спорта	https://www.betcris.com	1M			ayuda@betcris.com		31.05.2017	Антонио бж	да	02.фев								";;;;;;;;
"26	куба 	31.05.2017	прогоз спорта	http://www.tipgol.com/previa,CUBA_VS_REP__DOMINICANA,106668.html	117.80K			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"27	мексика	31.05.2017	прогоз спорта	http://www.betsonly.mx	13.30K			contacto@betsonly.mx		31.05.2017	Антонио бж										";;;;;;;;
"28	мексика	31.05.2017	прогоз спорта	https://mx.sportingbet.com	5к			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"29	мексика	31.05.2017	футбольная  ставка 	http://www.apostaren.com/internet-mexico.php	<5000			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"30	мексика	31.05.2017	новости 	https://www.sitesmexico.com	12,5к			отправил формуляр на сайте		01.06.2017	Антонио бж	да									";;;;;;;;
"31	испания 	31.05.2017	ставки на спорт	https://www.888sport.com/es/	1.70M			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"32	чили 	31.05.2017	новости 	http://www.emol.com	20.70M			noticias.emol@mercurio.cl               publicidad.emol@mercurio.cl                		31.05.2017	Антонио бж										";;;;;;;;
"33	чили 	31.05.2017	реклама	http://www.elmercurio.com	2M			contacto@clubdelectores.cl               cartasaldirector@mercurio.cl.		31.05.2017	Антонио бж										";;;;;;;;
"34	перу	31.05.2017	спортивная ставка 	https://apuestasonline.net/peru/#comment-339	51.20K			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"35	перу	31.05.2017	спортивная ставка 	https://www.teapuesto.pe/es/	150.50K			callcenter@intralot.com.pe		31.05.2017	Антонио бж	да	01.янв								";;;;;;;;
"36	н	31.05.2017	спортивная ставка 	http://www.centroapuesta.com/pronosticos/futbol/internacional/champions-league/	22.70K			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"37	испания 	31.05.2017	тарот, ставки 	https://www.lecturadecartas.info	162.10K 			info@lecturadecartas.info		31.05.2017	Антонио бж										";;;;;;;;
"38	н	31.05.2017	новости спорта	https://capitangol.com	<5000 к 			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"39	н	31.05.2017	новости спорта	http://www.sportingnews.com	7.80M			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"40		31.05.2017	новости 	http://www.eluniverso.com	10.90M			publicidadweb@eluniverso.com		31.05.2017	Антонио бж										";;;;;;;;
"41	н	31.05.2017	спортивная ставка 	http://www.mismarcadores.com	14M 7.0			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"42	куба 	31.05.2017	спортивная ставка 	http://oncubamagazine.com/a-fondo/beisbol-pique-y-apuestas/	131.20K			communication@oncubamagazine.com		31.05.2017	Антонио бж										";;;;;;;;
"43	н	31.05.2017	спортивная ставка 	https://apuestele.com/noticias/beisbol/clasico-mundial-previo-cuotas-apuestas/	<5000			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"44	куба 	31.05.2017	спортивная ставка 	http://www.resultados.com/es/beisbol/cuba/serie-nacional/	7.40M			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"45	куба 	31.05.2017	новости 	https://www.martinoticias.com	340.90K			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"46	куба 	31.05.2017	новости 	http://www.desdelahabana.net	<5000			anuncios3blogs@gmail.com		31.05.2017	Антонио бж										";;;;;;;;
"47	н	31.05.2017	новости 	https://www.saberespractico.com/curiosidades/en-que-paises-se-habla-espanol-de-manera-oficial/	2.70M			saberespractico@gmail.com		31.05.2017	Антонио бж										";;;;;;;;
"48	экв. Гви	31.05.2017	новости 	http://www.feguifut.org	<5000			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"49	экв. Гви	31.05.2017	новости 	https://www.guinealia.com	5.1K			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"50	н	31.05.2017	новости 	http://es.fifa.com/associations/association=eqg/	1.2M			updates@fifa.org		31.05.2017	Антонио бж										";;;;;;;;
"51	аргентина 	31.05.2017	новости 	https://www.clarin.com/deportes/guinea-ecuatorial-loco-sueno-futbol-planeta_redondo_0_BkW3x8cwXe.html	57.0M			pfasanella@agea.com.ar		31.05.2017	Антонио бж										";;;;;;;;
"52	н	31.05.2017	новости спорта 	http://www.grada1.tv/tiro-con-arco/18/temporada-2016/campeonato-de-europa/	44.7K			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"53	испания 	31.05.2017	новости 	http://cms.ual.es/UAL/universidad/serviciosgenerales/deportes/Pagina/INSCRIPCION_ONLINE_CE	337.6K			selecciones.deportes@ual.es		31.05.2017	Антонио бж										";;;;;;;;
"54	испания 	31.05.2017	новости 	http://www.unidadeditorial.com/	72.3M			publicidad@unidadeditorial.es		31.05.2017	Антонио бж										";;;;;;;;
"55	испания 	31.05.2017	спортивние ставки 	http://sports.sportium.es/es	н			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"56	испания 	31.05.2017	ставки 	https://www.ventura24.es/quienes-somos	356.6K			comunicacion@ventura24.es		31.05.2017	Антонио бж										";;;;;;;;
"57	испания 	31.05.2017	ставки 	http://www.quiniela15.com	142.1K			отправил формуляр на сайте		31.05.2017	Антонио бж	да	01.янв								";;;;;;;;
"58	испания 	31.05.2017	ставки 	https://1x2.marca.com	193.1K			contacto@quinielista.es		01.06.2017	Антонио бж	не хотят 									";;;;;;;;
"59	испания 	31.05.2017	ставки 	http://www.analisis1x2.com/1x2/	69.9K			info@analisis1x2.com		31.05.2017	Антонио бж										";;;;;;;;
"60	испания 	31.05.2017	новости спорта 	http://www.bbc.com	332.8M			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"61	чили	31.05.2017	новости 	http://www.t13.cl/noticia/deportes13/bbc/mundial-rusia-2018/los-pronosticos-de-bbc-mundo-para-la-14-fecha-en-las-eliminatorias-sudamericanas-al-mundial-rusia-2018	7.1M			отправил формуляр на сайте		31.05.2017	Антонио бж										";;;;;;;;
"62	чили	31.05.2017	новости футбола 	http://www.goal.com/es-cl?ICID=OP	57.1M			sales@performgroup.com		31.05.2017	Антонио бж										";;;;;;;;
"63	испания 	31.05.2017	футбольна ставка	http://www.predicciones-hoy.es/2017288712-pron?stico-universitario-alianza-lima-descentralizado.htm	50.4K			info@predictions-today.com		31.05.2017	Антонио бж										";;;;;;;;
"64	мексика	31.05.2017	общие дела 	https://todonexus.com	201.3K			mailto:publicidad@todonexus.com		01.06.2017	Антонио бж	да 	02.янв								";;;;;;;;
"65	мексика	01.06.2017	прогнозы 	http://www.pronosticos.gob.mx	1.4M			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"66	н	01.06.2017	прогнозы спорта 	http://zcodesystem.com/blogespanol/tag/linea-de-deportes-las-vegas/	396.4K			mailto:support@zcodesystem.com		01.06.2017	Антонио бж										";;;;;;;;
"67	н	01.06.2017	прогнозы спорта 	http://www.superparleysportspicks.com	74.4K			superparleydeportivo@hotmail.com		01.06.2017	Антонио бж										";;;;;;;;
"68	н	01.06.2017	прогнозы 	https://prezi.com/g8e1utof0pul/pronosticos-lineas-de-espera-inventarios-teoria-de-juegos/?webgl=0	68.8M			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"69	н	01.06.2017	киберигры 	http://www.3djuegos.com	14.8M			publicidad@3djuegos.com		01.06.2017	Антонио бж										";;;;;;;;
"70	н	01.06.2017	киберигры 	http://es.smeet.com/glosario/juegos/e-sports	н			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"71	Испания 	01.06.2017	киберигры 	http://www.meristation.com	8.1M			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"72	Испания 	01.06.2017	киберигры 	https://juegosadn.eleconomista.es/nace-gamerswalk-la-plataforma-de-pronosticos-para-amantes-de-los-esports-no-101685/	906.3K			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"73	венезуела 	01.06.2017	ставки, прог…	https://deportiva24.com.ve	2.7K			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"74	н	01.06.2017	киберигры 	http://trasgo.net	353.1K			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"75	Испания 	01.06.2017	киберигры ставки 	http://www.greenpicks.es	Н			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"76	н	01.06.2017	скачки лошадей 	https://apuestivas.com/apostar-carreras-de-caballos-tips-estrategias/	4.3K			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"77	н	01.06.2017	скачки лошадей 	https://www.racebets.de/es	106.1K			support.es@racebets.com		01.06.2017	Антонио бж	да									";;;;;;;;
"78	н	01.06.2017	скачки лошадей 	https://apuestasfree.com/7-trucos-apostar-carreras-caballos/	60.4K			hola@apuestasfree.com		01.06.2017	Антонио бж										";;;;;;;;
"79	Испания 	01.06.2017	скачки лошадей 	https://www.hipodromodelazarzuela.es	38.8K			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"80	 н	01.06.2017	скачки лошадей 	http://www.todoturf.net	27.3K			contacto@todoturf.com		01.06.2017	Антонио бж										";;;;;;;;
"81	Испания 	01.06.2017	скачки лошадей 	http://thejockey.es	308			info@thejockey.es		01.06.2017	Антонио бж										";;;;;;;;
"82	н	01.06.2017	ставки 	http://www.olimpoapuestas.com	17.1K			info@olimpoapuestas.com		01.06.2017	Антонио бж										";;;;;;;;
"83	Испания 	01.06.2017	прогнозы спорта 	https://olbg.es	10.0K			отправил формуляр на сайте		01.06.2017	Антонио бж	да, не хотят 									";;;;;;;;
"84	никарагуа 	01.06.2017	спортивные ставки 	https://apuestele.com.ni	2.7K			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"85	Испания 	01.06.2017	футбольная ставка 	http://www.casasdeapuestasweb.com/apuestas-deportivas/	24.0K			info@casasdeapuestasweb.com		01.06.2017	Антонио бж										";;;;;;;;
"86	Испания 	01.06.2017	спортивные ставки 	http://www.apuestasdeportivaspro.es	2.1K			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"87	Испания 	01.06.2017	спортивные ставки 	http://www.pronia.es/es/	100.9K			pronia.es@gmail.com		01.06.2017	Антонио бж										";;;;;;;;
"88	Испания 	01.06.2017	спортивные ставки 	http://apuestasdeportivas-futbol.es	1.3K			info@apuestasdeportivas-futbol.es		01.06.2017	Антонио бж										";;;;;;;;
"89	Испания 	01.06.2017	спортивные ставки 	https://kelbet.es/mejores-sitios-pronosticos-deportivos.html	45.2K			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"90	Испания 	01.06.2017	спортивные ставки 	http://www.apostar-y-futbol.com/pronosticos-de-apuestas-deportivas/	35.4K			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"91	н	01.06.2017	спортивные ставки 	http://www.clubpokersevilla.com/contacto.html	н			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"92	н	01.06.2017	спортивные ставки 	http://www.elcomparador.com	62.0K			servicios@nexusconsultores.com		01.06.2017	Антонио бж										";;;;;;;;
"93	н	01.06.2017	спортивные ставки 	http://pebmont.com/blogfs/category/liga-bbva/pronosticos-liga-bbva/	39.7K			oscar.pena@pebmont.com		01.06.2017	Антонио бж										";;;;;;;;
"94	н	01.06.2017	спортивные ставки 	https://www.gardelpicks.net	3.3K			gardelpicks@gmail.com		01.06.2017	Антонио бж										";;;;;;;;
"95	н	01.06.2017	спортивные ставки 	http://www.sosapuestas.com	3.2K			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"96	н	01.06.2017	спортивные ставки 	https://www.milanuncios.com/oportunidades-de-negocio/apuestas-deportivas.htm	42.6M			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"97	н	01.06.2017	спортивные ставки 	http://www.wangconnection.com/predicciones-de-medalla-para-espana-en-rio-2016/	71.3K			info@thewangconnection.com		01.06.2017	Антонио бж										";;;;;;;;
"98	н	01.06.2017	ставки 	http://canalapuesta.com/promos	12.8K			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"99	н	01.06.2017	прогнозы спорта 	http://elbufandeo.com	2.1K			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
